Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
Azer,Medium,Elemental,LN,17,39,30,17,12,15,12,13,10,CON,None,"Fireimmu, poisonimmu, poisonimmu",Normal,Ignan,2.00,"Heated Body, Heated Weapons, Illumination",Monster Manual,,Wizards of the Coast
Baba Lysaga's Creeping Hut,Gargantuan,Construct,U,16,263,30,26,7,20,1,3,3,"CON, WIS, CHA",None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu,  deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, proneimmu",Blindsight 120,None,11.00,"False, Siege",Curse of Strahd,,Wizards of the Coast
Balhannoth,Large,Aberration,CE,17,114,"25, climb 25",17,8,18,6,15,8,CON,Perception,Blindedimmu,Blindsight 500,"Deep Speech, telepathy 1 mile",11.00,"Legendary, Lair",Mordenkainen's Tome of Foes,,Wizards of the Coast
Banderhobb,Large,Monstrosity,NE,15,84,30,20,12,20,11,14,8,None,"Athletics, Stealth","Charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Common, Any",5.00,"Resonant Connection, Shadow Stealth",Volo's Guide to Monsters,,Wizards of the Coast
Banshee,Medium,Undead,CE,12,58,40 fly,1,14,10,12,11,17,"WIS, CHA",None,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,"Common, Elvish",4.00,"Detect Life, Incorporeal Movement",Monster Manual,,Wizards of the Coast
Barghest,Large,Fiend (Shapechanger),NE,17,90,60,19,15,14,13,12,14,None,"Deception, Intimidation, Perception, Stealth","Coldres, fireres, lightningres, nonmagicalres, acidimmu, poisonimmu, poisonedimmu","Blindsight 60, darkvision 60","Abyssal, Common, Goblin, Infernal, telepathy 60",4.00,"Shapechanger, Fire Banishment, Keen Smell, Innate Spellcasting",Volo's Guide to Monsters,,Wizards of the Coast
Basilisk,Medium,Monstrosity,U,15,52,30,16,8,15,2,8,7,"STR, CON, WIS, CHA","Deception, Insight, Perception","Coldres, nonmagicalres, nonsilvered immu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",3.00,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual,,Wizards of the Coast
Behir,Huge,Monstrosity,NE,17,168,"50, climb 40",23,16,18,7,16,12,None,"Perception, Stealth",Lightningimmu,Darkvision 90,Draconic,11.00,None,Monster Manual,,Wizards of the Coast
Beholder,Large,Aberration,LE,18,180,30,10,14,18,17,15,17,"STR, CON, WIS",None,"Coldres, nonmagicalres, nonsilveredimmu, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",13.00,"Devil's Sight,  Magic Resistance, Steadfast",Monster Manual,,Wizards of the Coast
"Beholder, Death Kiss",Large,Aberration,NE,16,161,fly 30,18,14,18,10,12,10,"CON, WIS",Perception,"Lightningimmu, proneimmu",Darkvision 120,"Deep Speech, Undercommon",10.00,Lightning Blood,Volo's Guide to Monsters,,Wizards of the Coast
"Beholder, Death Tyrant",Large,Undead,LE,19,187,"50, 40 climb",10,14,14,19,15,19,None,"Perception, Stealth",Lightningimmu,Darkvision 90,Draconic,14.00,None,Monster Manual,,Wizards of the Coast
"Beholder, Gauth",Medium,Aberration,LE,15,67,fly 20,10,14,16,15,15,13,"INT, WIS, CHA",Perception,Proneimmu,Darkvision 120,"Deep Speech, Undercommon",6.00,"Stunning Gaze, Death Throes",Volo's Guide to Monsters,,Wizards of the Coast
"Beholder, Gazer",Tiny,Aberration,NE,13,13,fly 30,3,17,14,3,10,7,WIS,"Perception, Stealth",Proneimmu,Darkvision 60,None,0.50,"Aggressive, Mimicry",Volo's Guide to Monsters,,Wizards of the Coast
"Beholder, Spectator",Medium,Aberration,LN,14,39,20 fly,8,14,14,13,14,11,"INT, WIS, CHA",Perception,Proneimmu,Darkvision 120,"Deep Speech, Undercommon",3.00,"Antimagic Cone, Lair, Legendary",Monster Manual,,Wizards of the Coast
Berbalang,Medium,Aberration,NE,14,38,"30, fly 40",9,16,9,17,11,10,None,"Arcana, History, Insight, Perception, Religion",None,Truesight 120,All,2.00,"Spectral Duplicate, Innate Spellcasting",Mordenkainen's Tome of Foes,,Wizards of the Coast
Black Earth Guard,Medium,Humanoid (Human),NE,18,39,30,17,11,14,10,10,9,None,"Intimidation, Perception",None,Normal,Common,2.00,None,Princes of the Apocalypse,,Wizards of the Coast
Black Earth Priest,Medium,Humanoid (Human),NE,17,45,30,15,11,14,12,10,16,None,"Intimidation, Religion, Persuasion",None,Normal,"Common, Terran",3.00,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
"Black Earth, Burrowshark",Medium,Humanoid (Human),NE,18,82,30,18,12,16,10,11,13,None,"Animal Handling, Athletics, Intimidation, Perception",None,Normal,Common,4.00,Bond of the Black Earth,Princes of the Apocalypse,,Wizards of the Coast
"Black Earth, Sacred Stone Monk",Medium,Humanoid (Human),LE,14,22,40,13,15,12,10,14,9,None,"Acrobatics, Athletics, Perception",None,Tremorsense 10,Common,0.50,"Unarmored Defense, Unarmored Movement",Princes of the Apocalypse,,Wizards of the Coast
"Black Earth, Stonemelder",Medium,Humanoid (Human),NE,17,75,30,15,10,16,12,11,17,None,"Intimidation, Perception",None,Tremorsense 30,"Common, Terran",4.00,"Death Burst, Normal Spellcasting",Princes of the Apocalypse,,Wizards of the Coast
"Blight, Needle",Medium,Plant,NE,12,11,30,12,12,13,4,8,3,None,None,"Blindedimmu, deafenedimmu",Blindsight 60,Common,0.25,None,Monster Manual,,Wizards of the Coast
"Blight, Tree",Huge,Plant,NE,15,149,30,23,10,20,6,10,3,None,None,"Blindedimmu, deafenedimmu",Blindsight 60,"Common, Druidic",7.00,"False, Siege",Curse of Strahd,,Wizards of the Coast
"Blight, Twig",Small,Plant,NE,13,4,"20, ",6,13,12,4,8,3,None,Stealth,"Fireweak, blindedimmu, deafenedimmu",Blindsight 60,Common,0.13,False Appearance,Monster Manual,,Wizards of the Coast
"Blight, Vine",Medium,Plant,NE,12,26,30,15,8,14,5,10,3,None,None,"Blindedimmu, deafenedimmu",Blindsight 60,Common,0.50,False Appearance,Monster Manual,,Wizards of the Coast
Bodak,Medium,Undead,CE,15,58,30,15,16,15,7,12,12,None,"Perception, Stealth","Coldres, fireres, necroticres, nonmagicalres, lightningimmu, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Abyssal, Any",6.00,"Aura of Annihilation, Death Gazer, Sunlight Hypersensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Boggle,Small,Fey,CN,14,18,"30, climb 30",8,18,13,6,12,7,None,"Perception, Sleight of Hand, Stealth",Fireres,Darkvision 60,Sylvan,0.13,"Boggle Oil, Dimensional Rift, Uncanny Smell",Volo's Guide to Monsters,,Wizards of the Coast
Boneclaw,Large,Undead,CE,16,127,40,19,16,15,13,15,9,"DEX, CON, WIS","Perception, Stealth","Coldres, necroticres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,"Common, Any",12.00,"Rejuvenation, Shadow Stealth",Mordenkainen's Tome of Foes,,Wizards of the Coast
Bugbear,Medium,Humanoid,CE,16,27,30,15,14,13,8,11,9,None,"Stealth, Survival",None,Darkvision 60,"Common, Goblin",1.00,"Brute, Surprise Attack",Monster Manual,,Wizards of the Coast
Bugbear Chief,Medium,Humanoid,CE,17,65,30,17,14,14,11,12,11,None,"Intimidation, Stealth, Survival",None,Darkvision 60,"Common, Goblin",3.00,"Brute, Hearth of Hruggek, Surprise Attack",Monster Manual,,Wizards of the Coast
Bulette,Large,Monstrosity,U,17,94,"40, 40 burrow",19,11,21,2,10,5,None,Perception,None,"Darkvision 60, tremorsense 60",None,5.00,Standing Leap,Monster Manual,,Wizards of the Coast
Bullywug,Medium,Humanoid,NE,15,11,"20, swim 40",12,12,13,7,10,7,None,Stealth,None,Normal,Own,0.25,"Amphibious, Speak with Frogs, Speak with Toads, Swamp Camouflage, Standing Leap",Monster Manual,,Wizards of the Coast
Cadaver Collector,Large,Construct,LE,17,189,30,21,14,20,5,11,8,None,None,"Necroticimmu, poisonimmu, psychicimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,All,14.00,"Magic Resistance, Summon Specters",Mordenkainen's Tome of Foes,,Wizards of the Coast
Cambion,Medium,Fiend,ANY EVIL,19,82,"30, fly 60",18,18,16,14,12,16,"STR, CON, INT, CHA","Deception, Intimidation, Perception, Stealth","Coldres, fireres, lightningres, poisonres, nonmagicalres",Darkvision 60,"Abyssal, Common, Infernal",5.00,"Fiendish Blessing, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Carrion Crawler,Large,Monstrosity,U,13,51,"30, 30 climb",14,13,16,1,12,5,None,Perception,None,Darkvision 60,None,2.00,"Keen Smell, Spider Climb",Monster Manual,,Wizards of the Coast
Catoblepas,Large,Monstrosity,U,14,84,30,19,12,21,3,4,8,None,None,None,Darkvision 60,None,5.00,"Keen Smell, Stench",Volo's Guide to Monsters,,Wizards of the Coast
Cave Fisher,Medium,Monstrosity,U,16,58,"20, climb 20",16,13,14,3,10,3,None,"Perception, Stealth",None,Blindsight 60,None,3.00,"Adhesive Filament, Flammable Blood, Spider Climb",Volo's Guide to Monsters,,Wizards of the Coast
Centaur,Large,Monstrosity,NG,12,45,50,18,14,14,9,13,11,None,"Athletics, Perception, Survival",None,Normal,"Elvish, Sylvan",2.00,Charge,Monster Manual,,Wizards of the Coast
Centaur Mummy,Large,Undead,LE,13,85,30,20,12,16,5,14,12,WIS,None,"Fireweak, nonmagicalres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,"Common, Sylvan",6.00,Charge,Tales from the Yawning Portal,,Wizards of the Coast
Chimera,Large,Monstrosity,CE,14,114,"30, fly 60",19,11,19,3,14,10,None,Perception,None,Darkvision 60,Draconic,6.00,None,Monster Manual,,Wizards of the Coast
Chitine,Small,Monstrosity,CE,14,18,"30, climb 30",10,14,12,10,10,7,None,"Athletics, Stealth",None,Darkvision 60,Undercommon,0.50,"Fey Ancestry, Sunlight Sensitivity, Web Sense,  Web Walker",Volo's Guide to Monsters,,Wizards of the Coast
"Chitine, Choldrith",Medium,Monstrosity,CE,15,66,"30, climb 30",12,16,12,11,14,10,None,"Athletics, Religion, Stealth",None,Darkvision 60,Undercommon,3.00,"Fey Ancestry, Normal Spellcasting, Spider Climb, Sunlight Sensitivity, Web Sense, Web Walker",Volo's Guide to Monsters,,Wizards of the Coast
Choker,Small,Aberration,CE,16,13,30,16,14,13,4,12,7,None,Stealth,None,Darkvision 60,Deep Speech,1.00,"Aberrant Quickness, Boneless, Spider Climb",Mordenkainen's Tome of Foes,,Wizards of the Coast
Chuul,Large,Aberration,CE,16,93,"30, 30 swim",19,10,16,5,11,5,None,Perception,"Poisonimmu, poisonedimmu",Darkvision 60,Deep Speech,4.00,"Amphibious, Sense Magic",Monster Manual,,Wizards of the Coast
Chwinga,Tiny,Elemental,N,15,5,"20, climb 20, swim 20",1,20,10,14,16,16,None,"Acrobatics, Perception, Stealth",None,Blindsight 60,None,0.00,"Evasion, Innate Spellcasting",Tomb of Annihilation,,Wizards of the Coast
Cloaker,Large,Aberration,CN,14,78,"10, fly 40",17,15,12,13,12,14,None,Stealth,None,Darkvision 60,"Deep Speech, Undercommon",8.00,"Damage Transfer, False Appearance, Light Sensitivity",Monster Manual,,Wizards of the Coast
"Clockwork, Bronze Scout",Medium,Construct,U,13,18,"30, burrow 30",10,16,11,3,14,1,None,"Perception, Stealth","Poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,1.00,"Earth Armor, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Clockwork, Iron Cobra",Medium,Construct,U,13,45,30,12,16,14,3,10,1,None,Stealth,"Poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,4.00,Magic Resistance,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Clockwork, Oaken Bolter",Medium,Construct,U,16,58,30,12,18,15,3,10,1,None,None,"Poisonimmu, nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,5.00,Magic Resistance,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Clockwork, Stone Defender",Medium,Construct,U,16,52,30,19,10,17,3,10,1,None,None,"Poisonimmu,nonmagicalimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,4.00,"False Appearance, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
Cockatrice,Small,Monstrosity,U,11,27,"20, fly 40",6,12,12,2,13,5,None,None,None,Darkvision 60,None,0.50,None,Monster Manual,,Wizards of the Coast
Corpse Flower,Large,Plant,CE,12,127,"20, climb 20",14,14,16,7,15,3,None,None,"Blindedimmu, deafenedimmu",Blindsight 120,None,8.00,"Corpses, Spider Climb, Stench of Death",Mordenkainen's Tome of Foes,,Wizards of the Coast
Couatl,Medium,Celestial,LG,19,97,"30, 90 fly",16,20,17,18,20,18,"CON, WIS, CHA",None,"Radiantres, psychicimmu, nonmagicalimmu",Truesight 120,"All, telepathy 120",4.00,"Innate Spellcasting, Magic Weapons, Shielded Mind",Monster Manual,,Wizards of the Coast
Crag Cat,Large,Beast,U,13,34,40,16,17,16,4,14,8,None,"Perception, Stealth",None,Darkvision 60,None,1.00,"Nondetection, Pounce, Spell Turning",Storm King's Thunder,,Wizards of the Coast
Cranium Rat,Tiny,Beast,LE,12,2,30,2,14,10,4,11,8,None,None,None,"Darkvision 30, tremorsense 60",Telepathy 30,0.00,"Illumination, Telepathic Shroud",Volo's Guide to Monsters,,Wizards of the Coast
"Cranium Rat, Swarm",Medium,Beast ,LE,12,36,30,9,14,10,15,11,14,None,None,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu","Darkvision 30, tremorsense 60",Telepathy 30,5.00,"Illumination, Innate Spellcasting, Swarm, Telepathic Shroud",Volo's Guide to Monsters,,Wizards of the Coast
Crawling Claw,Tiny,Undead,NE,12,2,"20, climb 20",13,14,11,5,10,4,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Blindsight 30,Common,0.00,Turn Immunity,Monster Manual,,Wizards of the Coast
Crushing Wave Priest,Medium,Humanoid (Human),NE,13,52,30,15,11,14,10,11,16,None,"Deception, Religion, Stealth",None,Normal,"Aquan, COmmon",2.00,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
Crushing Wave Reaver,Medium,Humanoid (Human),NE,14,22,30,15,14,13,10,11,8,None,"Athletics, Stealth",None,Normal,Common,0.50,None,Princes of the Apocalypse,,Wizards of the Coast
"Crushing Wave, Dark Tide Knight",Medium,Humanoid (Human),LE,13,58,30,17,16,14,10,11,11,None,"Athletics, Stealth",None,Normal,Common,3.00,Bonded Mount,Princes of the Apocalypse,,Wizards of the Coast
"Crushing Wave, Fathomer",Medium,Humanoid (Human),NE,10,52,30,14,11,14,11,11,15,None,"Arcana, Perception, Stealth",None,Normal,"Aquan, Common",2.00,"Shapechanger, Olhydra's Armor, Normal Spellcasting",Princes of the Apocalypse,,Wizards of the Coast
"Crushing Wave, One-Eyed Shiver",Medium,Humanoid (Human),CE,12,49,30,10,14,12,13,13,17,None,"Arcana, Perception, Intimidation",Coldimmu,Normal,Common,3.00,Chilling Mist,Princes of the Apocalypse,,Wizards of the Coast
Cyclops,Huge,Giant,CN,14,138,30,22,11,20,8,6,10,None,None,None,Normal,Giant,6.00,Poor Depth Perception,Monster Manual,,Wizards of the Coast
Darkling,Small,Fey,CN,14,13,30,9,16,12,10,12,10,None,"Acrobatics, Deception, Perception, Stealth",None,"Blindsight 30, darkvision 120","Elvish, Sylvan",0.50,"Death Flash, Light Sensitivity",Volo's Guide to Monsters,,Wizards of the Coast
Darkling Elder,Medium,Fey,CN,15,27,30,13,17,12,10,14,13,None,"Acrobatics, Deception, Perception, Stealth",None,"Blindsight 30, darkvision 120","Elvish, Sylvan",2.00,Death Burn,Volo's Guide to Monsters,,Wizards of the Coast
Darkmantle,Small,Monstrosity,U,11,22,"10, fly 30",16,12,13,2,10,5,None,Stealth,None,Blindsight 60,None,0.50,"Echolocation,  False Appearance",Monster Manual,,Wizards of the Coast
Death Knight,Medium,Undead,CE,20,180,30,20,11,20,12,16,18,"DEX, WIS, CHA",None,"Necroticimmu, poisonimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Abyssal, Common",17.00,"Magic Resistance, Marshal Undead, Spellcasting",Monster Manual,,Wizards of the Coast
Deathlock,Medium,Undead,NE,12,36,30,11,15,10,14,12,16,"INT, CHA","Arcana, History","Necroticres, nonmagicalres, nonsilveredres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,4.00,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
Deathlock Mastermind,Medium,Undead,NE,13,110,30,11,16,12,15,12,17,"INT, CHA","Arcana, History, Perception","Necroticres, nonmagicalres, nonsilveredres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 120,Any,8.00,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
Deathlock Wight,Medium,Undead,NE,12,37,30,11,14,16,12,14,16,WIS,"Arcana, Perception","Necroticres, nonmagicalres, poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Any,3.00,"Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Decapus,Large,Monstrosity,U,14,75,"15, climb 30",15,14,14,4,10,7,None,"Athletics, Perception, Stealth",None,Darkvision 60,None,4.00,None,The Tortle Package,,Wizards of the Coast
Deep Scion,Medium,Humanoid (Shapechanger),NE,11,67,"30, swim 40",18,13,16,10,12,14,"WIS, CHA","Deception, Insight, Sleight of Hand, Stealth",None,Darkvision 120,"Aquan, Common, Thieves' Cant",3.00,"Shapechanger, Amphibious",Volo's Guide to Monsters,,Wizards of the Coast
Demilich,Tiny,Undead,NE,20,80,fly 30,1,20,10,20,17,20,"CON, INT, WIS, CHA",None,"Magicalres, necroticimmu, poisonimmu, psychicimmu, nonmagicalimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, stunnedimmu",Truesight 120,None,18.00,"Avoidance, Legendary Resistance, Turn Immunity, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Demon Lord, Baphomet",Huge,Fiend (Demon),CE,22,275,40,30,14,26,18,24,16,"DEX, CON, WIS","Intimidation, Perception","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",23.00,"Charge, Innate Spellcasting, Labyrinthine Recall, Legendary, Magic Resistance, Magic Weapons, Reckless, Lair",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Demon Lord, Demogorgon",Huge,Fiend (Demon),CE,22,406,"50, swim 50",29,14,26,20,17,25,"DEX, CON, WIS, CHA","Insight, Perception","Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",Truesight 120,"All, telepathy 120",26.00,"Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Two Heads",Mordenkainen's Tome of Foes,,Wizards of the Coast
